,serie,martinez,lacalle,total_19_bal,fa_19,multi_19,fa,core,orsi,delgado
238,FDA,25.61809573908469,74.3819042609153,1901.0,18.916102136529442,80.71912454403335,22.850924918389552,74.70076169749728,23.850924918389552,76.14907508161045
239,FDB,27.267668336115747,72.73233166388425,1797.0,20.178372352285397,78.81828316610925,30.76136944302504,67.24578436382218,31.76136944302504,68.23863055697495
240,FDC,19.047619047619047,80.95238095238095,21.0,21.73913043478261,69.56521739130434,18.181818181818183,72.72727272727272,19.181818181818183,80.81818181818181
241,FDD,15.0,85.0,20.0,21.428571428571427,71.42857142857142,25.0,66.66666666666667,26.0,74.0
242,FDE,11.801242236024844,88.19875776397515,161.0,3.75,95.625,12.857142857142856,82.14285714285714,13.857142857142856,86.14285714285714
243,FEA,40.91743119266055,59.082568807339456,1090.0,25.932835820895523,72.10820895522389,33.51598173515982,62.831050228310495,34.51598173515982,65.48401826484019
244,FEB,8.433734939759036,91.56626506024097,83.0,7.317073170731707,90.2439024390244,11.267605633802818,87.32394366197184,12.267605633802818,87.73239436619718
245,FEC,9.523809523809524,90.47619047619048,42.0,6.521739130434782,80.43478260869566,5.714285714285714,88.57142857142856,6.714285714285714,93.28571428571429
246,FED,4.477611940298507,95.52238805970148,67.0,4.545454545454546,93.93939393939394,8.333333333333332,91.66666666666666,9.333333333333332,90.66666666666667
247,FEE,24.137931034482758,75.86206896551724,58.0,10.16949152542373,88.13559322033899,21.27659574468085,74.46808510638297,22.27659574468085,77.72340425531915
248,FEF,42.50089702188733,57.499102978112674,5574.0,31.076420402976947,66.89054274823017,37.33931850642726,58.845133646194654,38.33931850642726,61.66068149357274
249,FZZ,32.64758497316637,67.35241502683364,1118.0,22.87390029325513,75.26881720430109,31.327433628318584,65.48672566371681,32.32743362831859,67.67256637168141
250,GAA,39.97594226142743,60.02405773857258,2494.0,32.926332926332925,65.73056573056573,36.008869179600886,60.53215077605322,37.008869179600886,62.991130820399114
251,GAB,43.39993449066492,56.60006550933508,3053.0,34.91852344529431,62.653807781842374,37.595818815331015,59.09407665505226,38.595818815331015,61.404181184668985
252,GAC,35.5533465871438,64.4466534128562,3018.0,30.226274907125973,67.57852077001013,31.215367565570745,65.57074251939417,32.215367565570745,67.78463243442926
253,GAD,34.02230971128609,65.9776902887139,3048.0,28.65187148062272,69.29446836700895,30.136030694105337,66.55040111614929,31.136030694105337,68.86396930589467
254,GBA,50.03585086042065,49.96414913957935,8368.0,38.11293609878911,60.20860808056588,40.09626064420585,56.74441564852524,41.09626064420585,58.90373935579415
255,GBB,46.56125715394316,53.43874284605684,10309.0,35.00537792118901,63.21501906717512,38.07330827067669,58.87218045112782,39.07330827067669,60.92669172932331
256,GBC,46.27600763895869,53.723992361041304,9949.0,33.69157457163135,64.97009023623644,38.65270075990963,58.05093448346683,39.65270075990963,60.34729924009037
257,GCA,46.695095948827294,53.304904051172706,469.0,37.4468085106383,61.91489361702128,34.22222222222222,64.0,35.22222222222222,64.77777777777777
258,GCB,18.01801801801802,81.98198198198197,111.0,12.389380530973451,86.72566371681415,14.655172413793101,81.0344827586207,15.655172413793101,84.3448275862069
259,GCC,37.174721189591075,62.825278810408925,269.0,25.968992248062015,74.03100775193798,35.76158940397351,63.24503311258279,36.76158940397351,63.23841059602649
